"id","book_id","author_id","sort_index"
"1","1","1","0"
"2","2","2","0"
"3","3","3","0"
"4","4","4","0"
"5","5","5","0"
"6","6","6","0"
"7","7","7","0"
"8","8","8","0"
"9","9","9","0"
"10","10","10","0"
"11","11","11","0"
"12","12","12","0"
"13","13","13","0"
"14","14","14","0"
"15","15","15","0"
"16","16","16","0"
"17","17","17","0"
"18","18","18","0"
"19","19","19","0"
"20","20","20","0"
"1000","21","21","0"
"1001","22","22","0"
"1002","23","23","0"
"1003","24","24","0"
"1004","25","25","0"
"1005","26","26","0"
"1006","27","27","0"
"1007","28","28","0"
"1008","29","29","0"
"1009","30","30","0"
"1010","1000","27","0"
"1011","1001","27","0"
"1012","1002","27","0"
"1013","1003","27","0"
"1014","1004","27","0"
"1015","1005","27","0"
